Rattings,Review
1,"Order for Microware scanner, but received a product for iScan scanner, While scanning,  products always giving ""RED"" light error indication. It's a Amazon fulfilled product. But not a quality product, Amazon not checking quality of the product. Just charging high for Amazon fulfillment. This a second time happened."
1,It's not good. Don't purchase. I will return.Scanning not properly. Only A4 size paper scanning ok . But  book page not suitable.Don't purchase
1,"Order for Microware scanner, but received a product for iScan scanner, While scanning,  products always giving ""RED"" light error indication. It's a Amazon fulfilled product. But not a quality product, Amazon not checking quality of the product. Just charging high for Amazon fulfillment. This a second time happened."
1,It's not good. Don't purchase. I will return.Scanning not properly. Only A4 size paper scanning ok . But  book page not suitable.Don't purchase
5,Cable length and quality is good
5,Not good not working
5,Very good
5,Its good in low price
3,Does not work in hp laptop
3,Good
5,Best Product in its class.
5,"I bought this to connect my Roland V-drums kit to the computer which was at some distance. I was worried that the length would result in a lot of latency, but I was positively surprised when there was even less latency than my previous 3 feet cable in this 16 feet cable. It looks premium, feels durable, and most important of all, it's more functional than expected. I would recommend this for all musicians who need to connect midi instruments to their computers and get minimum latency."
5,Very good product. I ordered and got timely. Used to connect my 'Yamaha PSR I-425' midi to Image Line (FL Studio). Had to download driver from yamaha site. and it works perfect. strongly recommended.
5,## I purchased this cable only to connect HP Printer with my Laptop. So I couldn't test he transfer speeds.## I bought it for Rs. 749BOX CONTENTS:1. USB CableBUILT QUALITY:1. Soft rubber insulated cable.2. Quality of the rubber coating is good but I feel rough users need to handle it with care.3. Connectors are Gold plated & that gives the product a premium looks.4. The joint between the cable and connector is well shielded.
5,"This is a very good Cable. The covering is so good and it also works perfectly.I bought it for my keyboard and soon realized that i already have the same cable used in my printer. Also the next day i remembered that my aurdino also has the same cable, so now this is just a back up. So do check before ordering"
5,1. Connected my HP 4535 wireless printer to desktop.2. Cable is strong and of good quality.3. Print speed is not affected and there is no need to Install anything new.4. It's plug and play. Plug in the cable and start printing right away.It's worth the money.
