Rattings,Review
3,"Go for Fujifilm X-T30 at a lowest price, you'll get the same function like the a6400. Fujifilm came with the best pictures quality and new APSC sensor...you'll get alot than what you pay..the only downside of the X-T30 is 10 min. recording limit in 4k and 15 min. in 1080p but the rest is similar and 1080p footage is much better in fuji than in the sony a6400..if you want to spend around the same price as Sony a6400 then you should go with Fujifilm X-T3 which is way much better than the Sony."
1,"It does not fit the screen for D7200, waste of money and bogus fraud supplier"
2,It was not of proper size. I had to cut it in order to fit my camera screen.
1,Poor not currect size ...its bigger than the screen
1,Over sized not for D7200
1,False marketing! The images show that it has reflectors but the box does not have any reflectors. Components included says the right thing but the images are incorrect please remove them
1,"The product is good. But the battery which I was delivered seems fake. The charging cable as committed did not come with it. Neither does the battery have a micro usb port for charging. So clearly the seller did not check before dispatching a wrong battery with the product. I am returing it, but the light by itself looks sleek and good built."
4,"Nice product sleek and handy good brightness , easy maintenance"
3,"Peak brightness is only for 5 mins and then it dims and keeps dimming for 10 mins before 0% battery. 2-3 hours charge only gives 10-15 mins of battery life, so pretty much not usable, but can use it while plugged in. Also only 80% brightness when using while plugged in."
1,"Hot Shoe mount is supported in 3 mm screws. the moment I connect in just my DSLR, hot Shoe mount could not manage  of LED light and it removed from it. never buy this product if you want to use with hot shoe mount in DSLR. you can't return this product, just replace."
5,"Very good lights,nice brightness,easy to use and light weight."
2,"Lighting works fine, good brightness.Battery charger/adapter & charging cable are missing in the product.No replacement option, only refund is possible"
1,Always receiving defective product.very dissapointed
5,Brightness is more the a 500w helogen. Easy to use. Only problem it cannot work on mains supply.  Have to be depending on the battery wich lasts around 2hrs
1,They sent me a fake battery which lasts less than 20 minutes despite being fully charged. I have the same battery from sony which easily lasts more than an hour. Not worth the money at all
4,Good Product.. but Battery sucks doesn't last long should keep on charging it bcoz it doesn't have direct power cable
1,Reflector shown in the picture is fake ... No reflector do not buy .. cheating
3,Battery life is very less can't use for more time
5,Awesome!
5,Best
5,This is an amazing LED light for YouTubers and another video maker they give two options in light one is natural light and another is yellow light so it's very good for me.
4,This product is amazing and very good 😍 value for money.Must buy 👍
5,"A Digitek product , Very good !!"
4,"People may frown about its lack of stability and sturdiness in outdoor or windy environments.In that case, if you are not satisfied you should invest more and buy some professional grade product.But at this price (800/-) the quality of this tripod is unbeatable. You can't find a better tripod at this price.Pros-✔️Looks good and professional, and the color is awesome✔️Functioning has no issues, all screws and movements are smooth and working properly✔️Height  is sufficient✔️No issues with stability in the room, or on the terrace( given it's not much windy)✔️Very lightweight so easy to carry✔️Built is sturdy, I have been using it for 10 months. No issues whatsoever.✔️it can easily handle my Handycam and smartphone, it's not for heavy DSLRs.✔️it comes with a small carry bag, that's very useful.Cons-❌ Not sturdy enough to be used outdoors.❌If you intend to use your phone with it, you need to buy a mobile phone holder separatelyBOTTOM LINE: If you are a beginner and want to use it mostly indoor and don't want to spend much. It's the deal you want. But not for outdoor photography and professional purposes.I'm SVK.Please press ""HELPFUL"" if you liked my review of the product."
5,"This is my first camera tripod. I was hesitant at first since I will mainly use this for travel video and picture taking purpose. But after receiving the product, I am really impressed. As written on description, this product is lightweight and sturdy. So one can easily use this for outdoor shoots. Also, the camera head movement us pretty smooth. The product is no doubt user friendly but ir would have been better to supplt a mini user manual for beginners.I will do an update here after shooting some outdoor pictures in my upcoming trip."
1,I tried entering review in the second week itself when I bought it but I was unable to submit any review at that time. I am not a regular user but in the first or second attempt itself one of the legs came off from the base attachement. I dint see an option to return it as well. So one more junk equipment lying in my drawer unused. It’s not at all good for use with my dslr canon 700d. You don’t feel confident that the camera will stay surefooted. The slightest push will topple the tripod. Stay away from buying this u less u want to use it for mobile fone.
3,"Honestly I returned the product, becuase its clip mechanism is broken after 2 days,I think i received  a bad product,but product built quality of the product you are getting for this price is great,amazon customer service is great because,i told them that it is broken after two days,the told me return the product,but at that time i was not able return the product becuase i was travelling,so they told me that its has 1 year free replacement policy,so that i can return before the 1 year mark,but i managed to sent to amazon and got the money after 1 daypros:° Build quality great° Affordable° Good replacement policy° Made of aluminiumCons:° i got broken oneBut i am definitely going to buy one again"
1,"1. All the locks on the feet slip and will not stay in place, balancing is a nightmare. If not careful the whole thing might fall off.2. The pistol grip is totally useless. It cannot even hold a small mirrorless camera.The only good thing about this product is that the carrying case is not bad.This is a potentially dangerous product since all the locks slip and your camera can fall off anytime. The locking might seem adequate when you purchase the product but it wont last more that 3 to 4 uses and then everything feels very lose. I could not return the product on time so I'm stuck with it and using it as a glorified light stand.Please do not use this tripod for a camera because however careful you are with it potential breakage is inevitable.Really keeping up with ""Amazon Basics"" will break in 15 days standards."
4,No doubt  its the best tripod in range of Rs500  . Its very lightweight and sturdy. You can get pretty desent shots by this one. But at the same time when you put a 300mm lens on this one you will get hazy  picture. Overall its good product to invest in
